fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
6.6,0.52,0.04,2.2,0.069,0.008,0.015,995.6,3.4,0.63,9.4,6,red
6.6,0.5,0.04,2.1,0.068,0.006,0.014,995.5,3.39,0.64,9.4,6,red
8.6,0.38,0.36,3,0.081,0.03,0.119,997,3.2,0.56,9.4,5,red
7.6,0.51,0.15,2.8,0.11,0.033,0.073,995.5,3.17,0.63,10.2,6,red
7.7,0.62,0.04,3.8,0.084,0.025,0.045,997.8,3.34,0.53,9.5,5,red
10.2,0.42,0.57,3.4,0.07,0.004,0.01,997.1,3.04,0.63,9.6,5,red
7.5,0.63,0.12,5.1,0.111,0.05,0.11,998.3,3.26,0.77,9.4,5,red
7.8,0.59,0.18,2.3,0.076,0.017,0.054,997.5,3.43,0.59,10,5,red
7.3,0.39,0.31,2.4,0.074,0.009,0.046,996.2,3.41,0.54,9.4,6,red
8.8,0.4,0.4,2.2,0.079,0.019,0.052,998,3.44,0.64,9.2,5,red
7.7,0.69,0.49,1.8,0.115,0.02,0.112,996.8,3.21,0.71,9.3,5,red
7.5,0.52,0.16,1.9,0.085,0.012,0.035,996.8,3.38,0.62,9.5,7,red
7,0.735,0.05,2,0.081,0.013,0.054,996.6,3.39,0.57,9.8,5,red
7.2,0.725,0.05,4.65,0.086,0.004,0.011,996.2,3.41,0.39,10.9,5,red
7.2,0.725,0.05,4.65,0.086,0.004,0.011,996.2,3.41,0.39,10.9,5,red
7.5,0.52,0.11,1.5,0.079,0.011,0.039,996.8,3.42,0.58,9.6,5,red
6.6,0.705,0.07,1.6,0.076,0.006,0.015,996.2,3.44,0.58,10.7,5,red
9.3,0.32,0.57,2,0.074,0.027,0.065,996.9,3.28,0.79,10.7,5,red
8,0.705,0.05,1.9,0.074,0.008,0.019,996.2,3.34,0.95,10.5,6,red
7.7,0.63,0.08,1.9,0.076,0.015,0.027,996.7,3.32,0.54,9.5,6,red
7.7,0.67,0.23,2.1,0.088,0.017,0.096,996.2,3.32,0.48,9.5,5,red
7.7,0.69,0.22,1.9,0.084,0.018,0.094,996.1,3.31,0.48,9.5,5,red
8.3,0.675,0.26,2.1,0.084,0.011,0.043,997.6,3.31,0.53,9.2,4,red
9.7,0.32,0.54,2.5,0.094,0.028,0.083,998.4,3.28,0.82,9.6,5,red
8.8,0.41,0.64,2.2,0.093,0.009,0.042,998.6,3.54,0.66,10.5,5,red
8.8,0.41,0.64,2.2,0.093,0.009,0.042,998.6,3.54,0.66,10.5,5,red
6.8,0.785,0,2.4,0.104,0.014,0.03,996.6,3.52,0.55,10.7,6,red
6.7,0.75,0.12,2,0.086,0.012,0.08,995.8,3.38,0.52,10.1,5,red
8.3,0.625,0.2,1.5,0.08,0.027,0.119,997.2,3.16,1.12,9.1,4,red
6.2,0.45,0.2,1.6,0.069,0.003,0.015,995.8,3.41,0.56,9.2,5,red
7.8,0.43,0.7,1.9,0.464,0.022,0.067,997.4,3.13,1.28,9.4,5,red
7.4,0.5,0.47,2,0.086,0.021,0.073,997,3.36,0.57,9.1,5,red
7.3,0.67,0.26,1.8,0.401,0.016,0.051,996.9,3.16,1.14,9.4,5,red
6.3,0.3,0.48,1.8,0.069,0.018,0.061,995.9,3.44,0.78,10.3,6,red
6.9,0.55,0.15,2.2,0.076,0.019,0.04,996.1,3.41,0.59,10.1,5,red
8.6,0.49,0.28,1.9,0.11,0.02,0.136,997.2,2.93,1.95,9.9,6,red
7.7,0.49,0.26,1.9,0.062,0.009,0.031,996.6,3.39,0.64,9.6,5,red
9.3,0.39,0.44,2.1,0.107,0.034,0.125,997.8,3.14,1.22,9.5,5,red
7,0.62,0.08,1.8,0.076,0.008,0.024,997.8,3.48,0.53,9,5,red
7.9,0.52,0.26,1.9,0.079,0.042,0.14,996.4,3.23,0.54,9.5,5,red
8.6,0.49,0.28,1.9,0.11,0.02,0.136,997.2,2.93,1.95,9.9,6,red
8.6,0.49,0.29,2,0.11,0.019,0.133,997.2,2.93,1.98,9.8,5,red
7.7,0.49,0.26,1.9,0.062,0.009,0.031,996.6,3.39,0.64,9.6,5,red
5,1.02,0.04,1.4,0.045,0.041,0.085,993.8,3.75,0.48,10.5,4,red
4.7,0.6,0.17,2.3,0.058,0.017,0.106,993.2,3.85,0.6,12.9,6,red
6.8,0.775,0,3,0.102,0.008,0.023,996.5,3.45,0.56,10.7,5,red
7,0.5,0.25,2,0.07,0.003,0.022,996.3,3.25,0.63,9.2,5,red
7.6,0.9,0.06,2.5,0.079,0.005,0.01,996.7,3.39,0.56,9.8,5,red
8.1,0.545,0.18,1.9,0.08,0.013,0.035,997.2,3.3,0.59,9,6,red
8.3,0.61,0.3,2.1,0.084,0.011,0.05,997.2,3.4,0.61,10.2,6,red
7.8,0.5,0.3,1.9,0.075,0.008,0.022,995.9,3.31,0.56,10.4,6,red
8.1,0.545,0.18,1.9,0.08,0.013,0.035,997.2,3.3,0.59,9,6,red
8.1,0.575,0.22,2.1,0.077,0.012,0.065,996.7,3.29,0.51,9.2,5,red
7.2,0.49,0.24,2.2,0.07,0.005,0.036,996,3.33,0.48,9.4,5,red
8.1,0.575,0.22,2.1,0.077,0.012,0.065,996.7,3.29,0.51,9.2,5,red
7.8,0.41,0.68,1.7,0.467,0.018,0.069,997.3,3.08,1.31,9.3,5,red
6.2,0.63,0.31,1.7,0.088,0.015,0.064,996.9,3.46,0.79,9.3,5,red
8,0.33,0.53,2.5,0.091,0.018,0.08,997.6,3.37,0.8,9.6,6,red
8.1,0.785,0.52,2,0.122,0.037,0.153,996.9,3.21,0.69,9.3,5,red
7.8,0.56,0.19,1.8,0.104,0.012,0.047,996.4,3.19,0.93,9.5,5,red
8.4,0.62,0.09,2.2,0.084,0.011,0.108,996.4,3.15,0.66,9.8,5,red
8.4,0.6,0.1,2.2,0.085,0.014,0.111,996.4,3.15,0.66,9.8,5,red
10.1,0.31,0.44,2.3,0.08,0.022,0.046,998.8,3.32,0.67,9.7,6,red
7.8,0.56,0.19,1.8,0.104,0.012,0.047,996.4,3.19,0.93,9.5,5,red
9.4,0.4,0.31,2.2,0.09,0.013,0.062,996.6,3.07,0.63,10.5,6,red
8.3,0.54,0.28,1.9,0.077,0.011,0.04,997.8,3.39,0.61,10,6,red
7.8,0.56,0.12,2,0.082,0.007,0.028,997,3.37,0.5,9.4,6,red
8.8,0.55,0.04,2.2,0.119,0.014,0.056,996.2,3.21,0.6,10.9,6,red
7,0.69,0.08,1.8,0.097,0.022,0.089,995.9,3.34,0.54,9.2,6,red
7.3,1.07,0.09,1.7,0.178,0.01,0.089,996.2,3.3,0.57,9,5,red
8.8,0.55,0.04,2.2,0.119,0.014,0.056,996.2,3.21,0.6,10.9,6,red
7.3,0.695,0,2.5,0.075,0.003,0.013,998,3.49,0.52,9.2,5,red
8,0.71,0,2.6,0.08,0.011,0.034,997.6,3.44,0.53,9.5,5,red
7.8,0.5,0.17,1.6,0.082,0.021,0.102,996,3.39,0.48,9.5,5,red
9,0.62,0.04,1.9,0.146,0.027,0.09,998.4,3.16,0.7,9.4,5,red
8.2,1.33,0,1.7,0.081,0.003,0.012,996.4,3.53,0.49,10.9,5,red
8.1,1.33,0,1.8,0.082,0.003,0.012,996.4,3.54,0.48,10.9,5,red
8,0.59,0.16,1.8,0.065,0.003,0.016,996.2,3.42,0.92,10.5,7,red
6.1,0.38,0.15,1.8,0.072,0.006,0.019,995.5,3.42,0.57,9.4,5,red
8,0.745,0.56,2,0.118,0.03,0.134,996.8,3.24,0.66,9.4,5,red
5.6,0.5,0.09,2.3,0.049,0.017,0.099,993.7,3.63,0.63,13,5,red
5.6,0.5,0.09,2.3,0.049,0.017,0.099,993.7,3.63,0.63,13,5,red
6.6,0.5,0.01,1.5,0.06,0.017,0.026,995.2,3.4,0.58,9.8,6,red
7.9,1.04,0.05,2.2,0.084,0.013,0.029,995.9,3.22,0.55,9.9,6,red
8.4,0.745,0.11,1.9,0.09,0.016,0.063,996.5,3.19,0.82,9.6,5,red
8.3,0.715,0.15,1.8,0.089,0.01,0.052,996.8,3.23,0.77,9.5,5,red
7.2,0.415,0.36,2,0.081,0.013,0.045,997.2,3.48,0.64,9.2,5,red
7.8,0.56,0.19,2.1,0.081,0.015,0.105,996.2,3.33,0.54,9.5,5,red
7.8,0.56,0.19,2,0.081,0.017,0.108,996.2,3.32,0.54,9.5,5,red
8.4,0.745,0.11,1.9,0.09,0.016,0.063,996.5,3.19,0.82,9.6,5,red
8.3,0.715,0.15,1.8,0.089,0.01,0.052,996.8,3.23,0.77,9.5,5,red
5.2,0.34,0,1.8,0.05,0.027,0.063,991.6,3.68,0.79,14,6,red
6.3,0.39,0.08,1.7,0.066,0.003,0.02,995.4,3.34,0.58,9.4,5,red
5.2,0.34,0,1.8,0.05,0.027,0.063,991.6,3.68,0.79,14,6,red
8.1,0.67,0.55,1.8,0.117,0.032,0.141,996.8,3.17,0.62,9.4,5,red
5.8,0.68,0.02,1.8,0.087,0.021,0.094,994.4,3.54,0.52,10,5,red
7.6,0.49,0.26,1.6,0.236,0.01,0.088,996.8,3.11,0.8,9.3,5,red
6.9,0.49,0.1,2.3,0.074,0.012,0.03,995.9,3.42,0.58,10.2,6,red
8.2,0.4,0.44,2.8,0.089,0.011,0.043,997.5,3.53,0.61,10.5,6,red
7.3,0.33,0.47,2.1,0.077,0.005,0.011,995.8,3.33,0.53,10.3,6,red
9.2,0.52,1,3.4,0.61,0.032,0.069,999.6,2.74,2,9.4,4,red
7.5,0.6,0.03,1.8,0.095,0.025,0.099,995,3.35,0.54,10.1,5,red
7.5,0.6,0.03,1.8,0.095,0.025,0.099,995,3.35,0.54,10.1,5,red
7.1,0.43,0.42,5.5,0.07,0.029,0.129,997.3,3.42,0.72,10.5,5,red
7.1,0.43,0.42,5.5,0.071,0.028,0.128,997.3,3.42,0.71,10.5,5,red
7.1,0.43,0.42,5.5,0.07,0.029,0.129,997.3,3.42,0.72,10.5,5,red
7.1,0.43,0.42,5.5,0.071,0.028,0.128,997.3,3.42,0.71,10.5,5,red
7.1,0.68,0,2.2,0.073,0.012,0.022,996.9,3.48,0.5,9.3,5,red
6.8,0.6,0.18,1.9,0.079,0.018,0.086,996.8,3.59,0.57,9.3,6,red
7.6,0.95,0.03,2,0.09,0.007,0.02,995.9,3.2,0.56,9.6,5,red
7.6,0.68,0.02,1.3,0.072,0.009,0.02,996.5,3.17,1.08,9.2,4,red
7.8,0.53,0.04,1.7,0.076,0.017,0.031,996.4,3.33,0.56,10,6,red
7.4,0.6,0.26,7.3,0.07,0.036,0.121,998.2,3.37,0.49,9.4,5,red
7.3,0.59,0.26,7.2,0.07,0.035,0.121,998.1,3.37,0.49,9.4,5,red
7.8,0.63,0.48,1.7,0.1,0.014,0.096,996.1,3.19,0.62,9.5,5,red
6.8,0.64,0.1,2.1,0.085,0.018,0.101,995.6,3.34,0.52,10.2,5,red
7.3,0.55,0.03,1.6,0.072,0.017,0.042,995.6,3.37,0.48,9,4,red
6.8,0.63,0.07,2.1,0.089,0.011,0.044,995.3,3.47,0.55,10.4,6,red
7.5,0.705,0.24,1.8,0.36,0.015,0.063,996.4,3,1.59,9.5,5,red
7.9,0.885,0.03,1.8,0.058,0.004,0.008,997.2,3.36,0.33,9.1,4,red
8,0.42,0.17,2,0.073,0.006,0.018,997.2,3.29,0.61,9.2,6,red
8,0.42,0.17,2,0.073,0.006,0.018,997.2,3.29,0.61,9.2,6,red
7.4,0.62,0.05,1.9,0.068,0.024,0.042,996.1,3.42,0.57,11.5,6,red
7.3,0.38,0.21,2,0.08,0.007,0.035,996.1,3.33,0.47,9.5,5,red
6.9,0.5,0.04,1.5,0.085,0.019,0.049,995.8,3.35,0.78,9.5,5,red
7.3,0.38,0.21,2,0.08,0.007,0.035,996.1,3.33,0.47,9.5,5,red
7.5,0.52,0.42,2.3,0.087,0.008,0.038,997.2,3.58,0.61,10.5,6,red
7,0.805,0,2.5,0.068,0.007,0.02,996.9,3.48,0.56,9.6,5,red
8.8,0.61,0.14,2.4,0.067,0.01,0.042,996.9,3.19,0.59,9.5,5,red
8.8,0.61,0.14,2.4,0.067,0.01,0.042,996.9,3.19,0.59,9.5,5,red
8.9,0.61,0.49,2,0.27,0.023,0.11,997.2,3.12,1.02,9.3,5,red
7.2,0.73,0.02,2.5,0.076,0.016,0.042,997.2,3.44,0.52,9.3,5,red
6.8,0.61,0.2,1.8,0.077,0.011,0.065,997.1,3.54,0.58,9.3,5,red
6.7,0.62,0.21,1.9,0.079,0.008,0.062,997,3.52,0.58,9.3,6,red
8.9,0.31,0.57,2,0.111,0.026,0.085,997.1,3.26,0.53,9.7,5,red
7.4,0.39,0.48,2,0.082,0.014,0.067,997.2,3.34,0.55,9.2,5,red
7.7,0.705,0.1,2.6,0.084,0.009,0.026,997.6,3.39,0.49,9.7,5,red
7.9,0.5,0.33,2,0.084,0.015,0.143,996.8,3.2,0.55,9.5,5,red
7.9,0.49,0.32,1.9,0.082,0.017,0.144,996.8,3.2,0.55,9.5,5,red
8.2,0.5,0.35,2.9,0.077,0.021,0.127,997.6,3.23,0.62,9.4,5,red
6.4,0.37,0.25,1.9,0.074,0.021,0.049,997.4,3.57,0.62,9.8,6,red
6.8,0.63,0.12,3.8,0.099,0.016,0.126,996.9,3.28,0.61,9.5,5,red
7.6,0.55,0.21,2.2,0.071,0.007,0.028,996.4,3.28,0.55,9.7,5,red
7.6,0.55,0.21,2.2,0.071,0.007,0.028,996.4,3.28,0.55,9.7,5,red
7.8,0.59,0.33,2,0.074,0.024,0.12,996.8,3.25,0.54,9.4,5,red
7.3,0.58,0.3,2.4,0.074,0.015,0.055,996.8,3.46,0.59,10.2,5,red
11.5,0.3,0.6,2,0.067,0.012,0.027,998.1,3.11,0.97,10.1,6,red
5.4,0.835,0.08,1.2,0.046,0.013,0.093,992.4,3.57,0.85,13,7,red
6.9,1.09,0.06,2.1,0.061,0.012,0.031,994.8,3.51,0.43,11.4,4,red
9.6,0.32,0.47,1.4,0.056,0.009,0.024,996.95,3.22,0.82,10.3,7,red
8.8,0.37,0.48,2.1,0.097,0.039,0.145,997.5,3.04,1.03,9.3,5,red
6.8,0.5,0.11,1.5,0.075,0.016,0.049,995.45,3.36,0.79,9.5,5,red
7,0.42,0.35,1.6,0.088,0.016,0.039,996.1,3.34,0.55,9.2,5,red
7,0.43,0.36,1.6,0.089,0.014,0.037,996.15,3.34,0.56,9.2,6,red
12.8,0.3,0.74,2.6,0.095,0.009,0.028,999.4,3.2,0.77,10.8,7,red
12.8,0.3,0.74,2.6,0.095,0.009,0.028,999.4,3.2,0.77,10.8,7,red
7.8,0.57,0.31,1.8,0.069,0.026,0.12,996.25,3.29,0.53,9.3,5,red
7.8,0.44,0.28,2.7,0.1,0.018,0.095,996.6,3.22,0.67,9.4,5,red
11,0.3,0.58,2.1,0.054,0.007,0.019,998,3.31,0.88,10.5,7,red
9.7,0.53,0.6,2,0.039,0.005,0.019,995.85,3.3,0.86,12.4,6,red
8,0.725,0.24,2.8,0.083,0.01,0.062,996.85,3.35,0.56,10,6,red
11.6,0.44,0.64,2.1,0.059,0.005,0.015,998,3.21,0.67,10.2,6,red
8.2,0.57,0.26,2.2,0.06,0.028,0.065,995.9,3.3,0.43,10.1,5,red
7.8,0.735,0.08,2.4,0.092,0.01,0.041,997.4,3.24,0.71,9.8,6,red
7,0.49,0.49,5.6,0.06,0.026,0.121,997.4,3.34,0.76,10.5,5,red
8.7,0.625,0.16,2,0.101,0.013,0.049,996.2,3.14,0.57,11,5,red
8.1,0.725,0.22,2.2,0.072,0.011,0.041,996.7,3.36,0.55,9.1,5,red
7.5,0.49,0.19,1.9,0.076,0.01,0.044,995.7,3.39,0.54,9.7,5,red
7.8,0.53,0.33,2.4,0.08,0.024,0.144,996.55,3.3,0.6,9.5,5,red
7.8,0.34,0.37,2,0.082,0.024,0.058,996.4,3.34,0.59,9.4,6,red
7.4,0.53,0.26,2,0.101,0.016,0.072,995.7,3.15,0.57,9.4,5,red
6.8,0.61,0.04,1.5,0.057,0.005,0.01,995.25,3.42,0.6,9.5,5,red
8.6,0.645,0.25,2,0.083,0.008,0.028,998.15,3.28,0.6,10,6,red
8.4,0.635,0.36,2,0.089,0.015,0.055,997.45,3.31,0.57,10.4,4,red
7.7,0.43,0.25,2.6,0.073,0.029,0.063,996.15,3.37,0.58,10.5,6,red
8.9,0.59,0.5,2,0.337,0.027,0.081,996.4,3.04,1.61,9.5,6,red
9,0.82,0.14,2.6,0.089,0.009,0.023,998.4,3.39,0.63,9.8,5,red
7.7,0.43,0.25,2.6,0.073,0.029,0.063,996.15,3.37,0.58,10.5,6,red
6.9,0.52,0.25,2.6,0.081,0.01,0.037,996.85,3.46,0.5,11,5,red
5.2,0.48,0.04,1.6,0.054,0.019,0.106,992.7,3.54,0.62,12.2,7,red
8,0.38,0.06,1.8,0.078,0.012,0.049,996.25,3.37,0.52,9.9,6,red
8.5,0.37,0.2,2.8,0.09,0.018,0.058,998,3.34,0.7,9.6,6,red
6.9,0.52,0.25,2.6,0.081,0.01,0.037,996.85,3.46,0.5,11,5,red
8.2,1,0.09,2.3,0.065,0.007,0.037,996.85,3.32,0.55,9,6,red
7.2,0.63,0,1.9,0.097,0.014,0.038,996.75,3.37,0.58,9,6,red
7.2,0.63,0,1.9,0.097,0.014,0.038,996.75,3.37,0.58,9,6,red
7.2,0.645,0,1.9,0.097,0.015,0.039,996.75,3.37,0.58,9.2,6,red
7.2,0.63,0,1.9,0.097,0.014,0.038,996.75,3.37,0.58,9,6,red
8.2,1,0.09,2.3,0.065,0.007,0.037,996.85,3.32,0.55,9,6,red
8.9,0.635,0.37,1.7,0.263,0.005,0.062,997.1,3,1.09,9.3,5,red
12,0.38,0.56,2.1,0.093,0.006,0.024,999.25,3.14,0.71,10.9,6,red
7.7,0.58,0.1,1.8,0.102,0.028,0.109,995.65,3.08,0.49,9.8,6,red
15,0.21,0.44,2.2,0.075,0.01,0.024,"1,000.05",3.07,0.84,9.2,7,red
15,0.21,0.44,2.2,0.075,0.01,0.024,"1,000.05",3.07,0.84,9.2,7,red
7.3,0.66,0,2,0.084,0.006,0.023,998.3,3.61,0.96,9.9,6,red
7.1,0.68,0.07,1.9,0.075,0.016,0.051,996.85,3.38,0.52,9.5,5,red
8.2,0.6,0.17,2.3,0.072,0.011,0.073,996.3,3.2,0.45,9.3,5,red
7.7,0.53,0.06,1.7,0.074,0.009,0.039,996.15,3.35,0.48,9.8,6,red
7.3,0.66,0,2,0.084,0.006,0.023,998.3,3.61,0.96,9.9,6,red
10.8,0.32,0.44,1.6,0.063,0.016,0.037,998.5,3.22,0.78,10,6,red
7.1,0.6,0,1.8,0.074,0.016,0.034,997.2,3.47,0.7,9.9,6,red
11.1,0.35,0.48,3.1,0.09,0.005,0.021,998.6,3.17,0.53,10.5,5,red
7.7,0.775,0.42,1.9,0.092,0.008,0.086,995.9,3.23,0.59,9.5,5,red
7.1,0.6,0,1.8,0.074,0.016,0.034,997.2,3.47,0.7,9.9,6,red
8,0.57,0.23,3.2,0.073,0.017,0.119,996.75,3.26,0.57,9.3,5,red
9.4,0.34,0.37,2.2,0.075,0.005,0.013,998,3.22,0.62,9.2,5,red
6.6,0.695,0,2.1,0.075,0.012,0.056,996.8,3.49,0.67,9.2,5,red
7.7,0.41,0.76,1.8,0.611,0.008,0.045,996.8,3.06,1.26,9.4,5,red
10,0.31,0.47,2.6,0.085,0.014,0.033,999.65,3.36,0.8,10.5,7,red
7.9,0.33,0.23,1.7,0.077,0.018,0.045,996.25,3.29,0.65,9.3,5,red
7,0.975,0.04,2,0.087,0.012,0.067,995.65,3.35,0.6,9.4,4,red
8,0.52,0.03,1.7,0.07,0.01,0.035,995.75,3.34,0.57,10,5,red
7.9,0.37,0.23,1.8,0.077,0.023,0.049,996.3,3.28,0.67,9.3,5,red
12.5,0.56,0.49,2.4,0.064,0.005,0.027,999.9,3.08,0.87,10.9,5,red
11.8,0.26,0.52,1.8,0.071,0.006,0.01,996.8,3.2,0.72,10.2,7,red
8.1,0.87,0,3.3,0.096,0.026,0.061,"1,000.25",3.6,0.72,9.8,4,red
7.9,0.35,0.46,3.6,0.078,0.015,0.037,997.3,3.35,0.86,12.8,8,red
6.9,0.54,0.04,3,0.077,0.007,0.027,998.7,3.69,0.91,9.4,6,red
11.5,0.18,0.51,4,0.104,0.004,0.023,999.6,3.28,0.97,10.1,6,red
7.9,0.545,0.06,4,0.087,0.027,0.061,996.5,3.36,0.67,10.7,6,red
11.5,0.18,0.51,4,0.104,0.004,0.023,999.6,3.28,0.97,10.1,6,red
10.9,0.37,0.58,4,0.071,0.017,0.065,999.35,3.22,0.78,10.1,5,red
8.4,0.715,0.2,2.4,0.076,0.01,0.038,997.35,3.31,0.64,9.4,5,red
7.5,0.65,0.18,7,0.088,0.027,0.094,999.15,3.38,0.77,9.4,5,red
7.9,0.545,0.06,4,0.087,0.027,0.061,996.5,3.36,0.67,10.7,6,red
6.9,0.54,0.04,3,0.077,0.007,0.027,998.7,3.69,0.91,9.4,6,red
11.5,0.18,0.51,4,0.104,0.004,0.023,999.6,3.28,0.97,10.1,6,red
10.3,0.32,0.45,6.4,0.073,0.005,0.013,997.6,3.23,0.82,12.6,8,red
8.9,0.4,0.32,5.6,0.087,0.01,0.047,999.1,3.38,0.77,10.5,7,red
11.4,0.26,0.44,3.6,0.071,0.006,0.019,998.6,3.12,0.82,9.3,6,red
7.7,0.27,0.68,3.5,0.358,0.005,0.01,997.2,3.25,1.08,9.9,7,red
7.6,0.52,0.12,3,0.067,0.012,0.053,997.1,3.36,0.57,9.1,5,red
8.9,0.4,0.32,5.6,0.087,0.01,0.047,999.1,3.38,0.77,10.5,7,red
9.9,0.59,0.07,3.4,0.102,0.032,0.071,"1,000.15",3.31,0.71,9.8,5,red
9.9,0.59,0.07,3.4,0.102,0.032,0.071,"1,000.15",3.31,0.71,9.8,5,red
12,0.45,0.55,2,0.073,0.025,0.049,999.7,3.1,0.76,10.3,6,red
7.5,0.4,0.12,3,0.092,0.029,0.053,996.7,3.37,0.7,10.3,6,red
8.7,0.52,0.09,2.5,0.091,0.02,0.049,997.6,3.34,0.86,10.6,7,red
11.6,0.42,0.53,3.3,0.105,0.033,0.098,1001,3.2,0.95,9.2,5,red
8.7,0.52,0.09,2.5,0.091,0.02,0.049,997.6,3.34,0.86,10.6,7,red
11,0.2,0.48,2,0.343,0.006,0.018,997.9,3.3,0.71,10.5,5,red
10.4,0.55,0.23,2.7,0.091,0.018,0.048,999.4,3.22,0.64,10.3,6,red
6.9,0.36,0.25,2.4,0.098,0.005,0.016,996.4,3.41,0.6,10.1,6,red
